id;estrategia_1;estrategia_2;estrategia_3
1;R;A;R
2;R;R;R
3;A;A;A
4;A;R;R
5;R;R;A
6;R;R;A
7;A;R;R
8;R;A;A
9;A;A;A
10;A;R;R
11;R;R;A
12;A;R;R
13;R;A;R
14;A;R;A
15;A;A;A
16;A;R;R
17;R;A;A
18;R;R;A
19;R;R;A
20;A;A;A
21;R;A;A
22;R;A;R
23;A;A;A
24;R;A;A
25;A;R;R
26;A;A;R
27;R;A;R
28;R;R;A
29;A;R;A
30;R;A;R
31;R;R;R
32;R;R;R
33;A;R;A
34;A;A;A
35;R;A;A
36;A;R;R
37;A;A;A
38;A;A;R
39;R;A;R
40;R;R;A
41;A;A;A
42;R;A;R
43;A;R;A
44;R;A;A
45;A;A;A
46;A;R;A
47;R;R;A
48;R;A;R
49;A;R;A
50;A;A;R
51;A;R;A
52;R;R;R
53;A;A;R
54;R;A;A
55;A;R;R
56;R;A;R
57;A;A;A
58;A;R;A
59;R;R;A
60;A;A;R
61;R;A;R
62;R;A;A
63;R;A;R
64;A;A;R
65;A;A;A
66;A;R;R
67;A;R;A
68;A;R;R
69;A;A;A
70;R;R;R
71;A;A;R
72;R;A;A
73;R;A;A
74;R;A;A
75;R;R;A
76;A;R;A
77;A;A;A
78;A;A;A
79;A;A;R
80;R;A;A
81;R;A;R
82;A;A;R
83;A;A;A
84;A;A;R
85;A;R;A
86;R;R;R
87;R;R;A
88;A;R;A
89;R;R;R
90;A;A;R
91;R;A;A
92;A;A;R
93;R;R;A
94;A;R;R
95;A;R;A
96;A;A;R
97;R;R;A
98;A;R;A
99;R;R;A
100;R;R;R
101;A;A;R
102;R;R;R
103;A;A;A
104;A;A;R
105;A;R;R
106;R;R;A
107;R;A;A
108;A;R;A
109;A;A;A
110;R;A;A
111;A;A;R
112;R;A;R
113;R;A;A
114;A;A;A
115;R;A;R
116;A;R;A
117;A;A;A
118;A;R;R
119;A;A;A
120;A;R;R
121;R;R;A
122;R;A;A
123;R;R;R
124;R;A;A
125;R;A;A
126;A;A;A
127;R;R;R
128;R;A;A
129;R;A;A
130;R;R;A
131;A;R;R
132;A;R;R
133;A;A;R
134;R;A;A
135;R;R;R
136;R;R;A
137;R;A;A
138;A;R;R
139;A;R;A
140;A;A;A
141;R;R;A
142;A;R;R
143;A;R;A
144;R;A;R
145;R;R;A
146;R;A;R
147;R;A;R
