Id;Raza;Previo;Posterior
1;Blanca;16,274;14,057
2;Blanca;17,152;13,655
3;Blanca;15,925;12,826
4;Blanca;16,814;12,959
5;Blanca;16,911;14,293
6;Blanca;17,774;14,786
7;Blanca;17,219;14,02
8;Blanca;16,487;13,405
9;Blanca;17,517;14,578
10;Blanca;16,377;12,944
11;Blanca;17,126;14,246
12;Blanca;15,805;13,382
13;Blanca;18,028;15,161
14;Blanca;15,133;11,664
15;Blanca;16,363;13,533
16;Blanca;16,407;13,668
17;Blanca;15,75;11,507
18;Blanca;16,658;13,273
19;Blanca;15,782;13,026
20;Blanca;14,55;11,644
21;Blanca;16,436;13,598
22;Blanca;17,309;13,475
23;Blanca;16,332;13,431
24;Blanca;15,136;11,488
25;Blanca;17,344;14,385
26;Blanca;15,19;12,543
27;Negra;13,257;11,704
28;Negra;14,266;12,216
29;Negra;12,793;10,994
30;Negra;13,999;13,017
31;Negra;11,962;10,686
32;Negra;14,055;13,248
33;Negra;15,191;14,182
34;Negra;15,628;14,103
35;Negra;12,89;11,533
36;Negra;13,75;12,361
37;Negra;13,081;10,816
38;Negra;14,24;13,048
39;Negra;14,347;12,484
40;Negra;17,296;15,991
41;Negra;13,877;12,25
42;Negra;13,134;11,912
43;Negra;14,751;12,954
44;Negra;14,338;12,598
45;Negra;13,922;12,472
46;Negra;15,151;13,203
47;Negra;15,314;13,701
48;Negra;14,514;12,315
49;Negra;13,905;11,926
50;Negra;12,428;11,062
51;Negra;12,772;10,913
52;Negra;15,09;12,875
53;Negra;13,591;11,854
54;Negra;15,623;14,907
55;Oriental;19,615;14,842
56;Oriental;19,61;14,936
57;Oriental;18,718;13,916
58;Oriental;19,158;14,157
59;Oriental;18,996;13,668
60;Oriental;18,83;13,431
61;Oriental;18,593;13,292
62;Oriental;19,315;14,365
63;Oriental;20,081;14,855
64;Oriental;21,359;16,306
65;Oriental;19,08;14,122
66;Oriental;19,512;14,27
67;Oriental;19,823;14,818
68;Oriental;20,129;15,241
69;Oriental;20,287;15,341
70;Oriental;20,636;15,291
71;Oriental;20,607;15,619
72;Oriental;18,811;14,108
73;Oriental;19,876;15,225
74;Oriental;20,829;15,94
75;Oriental;19,926;15,17
76;Oriental;19,623;14,09
77;Oriental;18,416;12,948
78;Oriental;18,245;13,069
79;Oriental;20,152;15,848
80;Oriental;19,737;15,244
81;Oriental;20,581;16,338
